Image,Date,Place,PM 2.5,PM 10,Blue,Gradient,Transmisiion,im contrast,roi contrast,entropy,Humidity,hsv,Time,log,Weather
440.jpg,22.5.18,maya Enclave,60.57,220.3,0.928276344,0,0.009923449,0.001152493,9.031119042,7.056024843,12,43.93578704,05:38 PM,-4.612854737,haze
441.jpg,23.5.18,maya Enclave,111.44,289.49,0.8501694,2.723376987,0.009992969,0.000851986,2.742939975,7.572518098,19,43.62745805,09:24 AM,-4.605873533,haze
442.jpg,23.5.18,maya Enclave,133.87,303.8,0.85821378,0.680844247,0.009372333,0.001169689,10.04435662,7.280451689,11,82.67187312,03:30 PM,-4.669993228,widespread dust
443.jpg,23.5.18,maya Enclave,76.67,232.39,0.97229867,0,0.009786172,0.00115325,7.718042891,7.335188532,14,107.6177126,06:16 PM,-4.62678491,widespread dust
444.jpg,24.5.18,maya Enclave,103.86,236.61,0.988826092,0,0.009996442,0.000966304,7.751753752,6.392560006,20,4.876179796,07:41 AM,-4.605526049,widespread dust
445.jpg,24.5.18,maya Enclave,103.86,236.61,0.910837622,0,0.009920683,0.001256683,10.21099478,7.242924268,11,91.76392059,02:35 PM,-4.613133509,haze
446.jpg,24.5.18,maya Enclave,67.42,158.63,0.997385359,0,0.009950053,0.001186343,3.586931671,6.155940133,10,3.563485389,05:45 PM,-4.610177401,haze
447.jpg,25.5.18,maya Enclave,110.46,322.25,0.917926831,3.404221234,0.009858142,0.000898144,3.719083709,7.389922277,15,93.18628433,09:40 AM,-4.619457566,haze
448.jpg,25.5.18,maya Enclave,65.78,198.19,0.897343608,1.02126637,0.009774608,0.000421077,14.78206952,7.145368262,8,108.1027007,02:46 PM,-4.627967276,haze
449.jpg,25.5.18,maya Enclave,62.14,202.09,0.95179984,0,0.009863968,0.001176848,5.947683069,6.994001584,7,105.9961285,04:24 PM,-4.618866757,haze
462.jpg,26.5.18,Maya Enclave,132.35,292.93,0.915795142,2.382954864,0.009983722,0.000847453,2.971832891,7.480369916,15,97.64303737,09:30 AM,-4.606799312,haze
463.jpg,26.5.18,Maya Enclave,108.11,275.19,0.98421169,0,0.009974136,0.000371767,2.883844591,7.172234723,8,106.9077256,02:25 PM,-4.607759936,sunny
527.jpg,26.5.18,Maya Enclave,61.99,161.38,0.896503036,1.702110617,0.009875683,0.001116333,8.772660295,6.811538087,8,97.08662742,05:47 PM,-4.617679806,widespread dust
528.jpg,27.5.18,Maya Enclave,100.61,266.58,0.907179596,0,0.009763988,0.000991744,2.696860095,7.395674663,13,93.58939752,09:26 AM,-4.629054355,haze
529.jpg,27.5.18,Maya Enclave,88.73,373.67,0.937820518,0,0.009893893,0.001152909,3.497384029,7.160845754,7,102.5882895,03:56 PM,-4.615837581,haze
530.jpg,27.5.18,Maya Enclave,100.72,296.16,0.97668115,0,0.009788222,0.001135332,5.815729252,7.379413646,8,67.86149492,06:43 PM,-4.626575453,haze
